Name,Latitude,Longitude,Place ID
OLVG Location West,52.37110329999999,4.839503300000001,ChIJbyUZWkDixUcRirSj3CCz-ps
"OLVG, location East",52.35857039999999,4.9169154,ChIJc8cTKpwJxkcR6z1Oo4dDIJI
BovenIJ ziekenhuis,52.40447710000001,4.922155899999999,ChIJlZZMl14IxkcR3VfHCghBbjE
FysioPlus De Mirandabad,52.33874340000001,4.902347900000001,ChIJ29gn8iUKxkcRsfkmp8tfJNY
Xpert Clinics Orthopedie Amsterdam (voorheen Annatommie mc),52.3411418,4.866076899999999,ChIJcbw4LQcKxkcR2iCzf4qhxaE
Stichting Medisch Centrum Gelderlandplein,52.3319434,4.875197399999999,ChIJ8_lN2BEKxkcReP8960iCqcM
SAG Gezondheidscentrum Borgerstraat,52.3652587,4.866467699999999,ChIJMUbNhwrixUcRs-LNrQNaCqM
VU University Medical Center,52.3346104,4.8598083,ChIJYYppw-LhxUcR7s38G_SrlQU
Rimpelconsult Anti Aging,52.3720915,4.897254999999999,ChIJEWDpyrgJxkcRNRfHjBi1nHw
Stichting Recht op Gezondheid,52.3762333,4.887337700000001,ChIJjRRovcUJxkcRbRtFqVuSgSQ
Herbal & Acupuncture Treatment,52.359393,4.893616999999999,ChIJp1z2LZMJxkcRVYP9WrAqK7E
EC VerzuimDiagnostiek,52.3622348,4.8796349,ChIJyaknBuYJxkcR77QhLx2USQw
Praktijk voor Acupunctuur en Jungian Analysis van Arno Roelofs,52.38285409999999,4.884842499999999,ChIJ64xuBs4JxkcRtEQeZoXFe9k
Exercise Therapy Cesar Amsterdam S. Evers,52.35961299999999,4.927031999999999,ChIJQ8Y-UXEJxkcRE_FUrq42Ml8
De Keuze Architecten B.V.,52.37714099999999,4.8938073,ChIJxyts18cJxkcRF_9Jfutr8EA
De Batjan,52.3593699,4.9392903,ChIJZZKFqW4JxkcRndZNZe8_FTs
Precon Nederland B.V.,52.3442412,4.912444,ChIJxY5QdCoKxkcR9iolYbfA_lM
Advocatenkantoor Van der Weide,52.354119,4.871221999999999,ChIJG298YfwJxkcR5Two2O0EQ8k
Amsterdam Tourist Doctors,52.3708667,4.900425699999999,ChIJs_j_kOcJxkcR3WkvaK43FKI
AmstelFysio,52.37149300000001,4.906219000000001,ChIJdYDHjJUJxkcR6t1kUvJRzM0
